Istance;Size;# hubs;# vehicles;initial solution;heuristics;file name - Universally Unique Identifier (UUID); objective value (initial); objective value (final);elapsed time (final);total # iterations
TR16;16;3;1;RND;SA01;fda3c5ae7b844ed1b6fa40e766f10f9a;10019;3193;30;46475
TR16;16;3;1;RND;SA01;99ed7de26854466fb471e50e3f8fc083;9758;3166;30;65888
TR16;16;3;1;RND;SA01;5620f5c28d374403b4646eaff2eb8600;9377;3166;30;63020
TR16;16;3;1;RND;SA01;90e51a2e30d94280a737bdf5108e438f;8416;3166;30;82671
TR16;16;3;1;RND;SA01;e33cad0a570e46498d78af4b4806f69c;8499;3166;30;58952
TR16;16;3;1;RND;SA01;84b9bf155a0c444295b26bfa97d5b4c8;8802;3193;30;55216
TR16;16;3;1;RND;SA01;eb148c5be3d44fad98b4495ce07b9751;9852;3193;30;86361
TR16;16;3;1;RND;SA01;b8626eb095aa44368f10ccb2fd037cdc;7092;3193;30;62140
TR16;16;3;1;RND;SA01;2ffe533261f04f7cb916a1393e0bea7f;9569;3193;30;68340
TR16;16;3;1;RND;SA01;ce69bfe88cfe4c6b896b2ea52aadffeb;8520;3193;30;65741
TR16;16;3;1;GREEDY;SA01;0df418cd209c45bb9212f2b95fceb297;5577;3193;30;69235
TR16;16;3;1;GREEDY;SA01;693674315d3c417ead84cb82f6e95a02;5963;3166;30;92122
TR16;16;3;1;GREEDY;SA01;2acadb00ed074c6db1fe629735dbba16;8062;3193;30;90847
TR16;16;3;1;GREEDY;SA01;586f3c1b9dfe483bb636a0433529d10c;6043;3193;30;58939
TR16;16;3;1;GREEDY;SA01;22665f6713cb4921b4be06e034172f6b;4645;3182;30;70626
TR16;16;3;1;GREEDY;SA01;270c34b9bd9146c9840463cd07500e09;7461;3166;30;54133
TR16;16;3;1;GREEDY;SA01;2ca1db45cfa849dcbdb568d9dd66c968;7877;3166;30;45376
TR16;16;3;1;GREEDY;SA01;bbbcf41234f346d285c7c5c1e1263c88;6045;3193;30;55674
TR16;16;3;1;GREEDY;SA01;eb78ce80b342490dad6a4e2f9103986e;4645;3193;30;58000
TR16;16;3;1;GREEDY;SA01;9b34c99bdb7a4c61b0d15aaca5d05002;7461;3166;30;44054
TR16;16;3;1;GREEDY_RND;SA01;9c769145868e450783f256b01a390536;9076;3166;30;95840
TR16;16;3;1;GREEDY_RND;SA01;8b960556f3a740a5a28b8a77fa4ab447;8859;3183;30;42647
TR16;16;3;1;GREEDY_RND;SA01;86a2376f648845f0b5e8ad2a53ba913d;9831;3166;30;50941
TR16;16;3;1;GREEDY_RND;SA01;90ded45ad7b34229ae6b1b4cce19a0ea;9351;3193;30;47350
TR16;16;3;1;GREEDY_RND;SA01;5a8b586e78a44b90808a1b137f897abf;10025;3166;30;61074
TR16;16;3;1;GREEDY_RND;SA01;f795bc2454074252a8814b2f3c04b410;7106;3193;30;48456
TR16;16;3;1;GREEDY_RND;SA01;699fa0d90eba4f7c90203329ae4deb2d;8421;3166;30;72894
TR16;16;3;1;GREEDY_RND;SA01;d125295cf601498880cf553342f1242e;8590;3182;30;67859
TR16;16;3;1;GREEDY_RND;SA01;2ad544926d2341f492ec30861a2f7e9b;8566;3166;30;46220
TR16;16;3;1;GREEDY_RND;SA01;2464c7ed791c47a8a8db0d9e6f6a5e11;9533;3193;30;30004
TR16;16;3;1;RND_GREEDY;SA01;6d956f5f12a344ea80655a1bb9b2227c;4412;3260;30;60817
TR16;16;3;1;RND_GREEDY;SA01;486f4c5cca044d1d8ae6172d1108db24;10135;3166;30;54172
TR16;16;3;1;RND_GREEDY;SA01;247a81b4d9e044369b36d2abeb83ac56;9737;3166;30;57760
TR16;16;3;1;RND_GREEDY;SA01;f135654ac2d6451a9a9e61dc8f212e08;5679;3166;30;48097
TR16;16;3;1;RND_GREEDY;SA01;544d6cad1b20477e9c7fb5620446ef35;8468;3166;30;49342
TR16;16;3;1;RND_GREEDY;SA01;2193bb443ca342a69dd5650c17a62a48;9625;3166;30;70385
TR16;16;3;1;RND_GREEDY;SA01;444bfc3a89334ea6b7dd566805188115;7045;3193;30;59583
TR16;16;3;1;RND_GREEDY;SA01;d30175c16e2344d2b3817de762033645;6601;3193;30;47957
TR16;16;3;1;RND_GREEDY;SA01;c3b608186dc54af68529ba1f318cda4d;7758;3183;30;63315
