,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,2015.130021,23111.7619,22047.58078,17844.56766,23780.9643,22709.74874,17674.36218,18071.4608,18000.62997,27074.77124,23732.82088,29389.45568,34168.31873,35851.70706,39071.26468,44529.00433,46896.84858,50988.95088,51317.41923,30565.44348,31745.27853,30486.06562,32982.28932,32957.41005,35422.64504,31732.68152,31188.22055,32157.08033,34659.21089,35072.87193,37977.38597,36273.32636,38553.63228,41352.83451,41676.58405,44556.38886,43901.71742,44483.1302,54015.79164,32833.40515,35392.6898,36258.447,38198.61912,38157.925,38069.63698,40319.49939,41549.10037,40777.47932,42227.75701,43801.76433,44019.71185,45156.77167,44185.16489,45768.84217,46930.58735,49288.02575,52243.10788,54313.29685,54126.61262,41690.24074,44034.1747,41778.69416,44003.11652,42918.21983,45241.20918,47007.58566,46327.68661,45475.64079,48905.18188,48692.72962,47174.93898,47957.97889,47293.66877,49031.91631,48591.70532,48892.16387,50121.4993,53270.07869,56590.72312,49527.44128,48401.27447,48568.56213,49082.42829,47791.96854,49954.19764,49286.5029,49842.70552,51393.02527,50908.75389,51616.06777,49806.69118,51316.69666,53954.46272,52197.25615,50512.68944,54167.71356,52589.86832,54072.19294,54814.80331
1,1,2015.130021,0,21099.29913,20103.78901,16268.42534,22017.47994,21061.27408,17586.15314,18156.00368,17334.69121,25387.2566,22835.40832,28051.12406,32807.33113,34732.66461,37746.87671,43534.112,46053.52241,50124.90111,50669.62246,28550.68446,29731.46588,28497.08718,31033.85671,31040.70632,33510.20521,29918.10093,29434.45436,30433.24866,32915.79014,33359.10091,36225.44736,34704.85798,36913.43443,39683.48088,40047.94026,42958.09164,42394.9422,42971.1936,52617.75702,30893.14318,33379.91298,34252.36372,36197.48397,36191.13707,36162.91228,38414.55688,39691.36194,38968.5171,40433.85571,41981.70706,42251.96272,43391.31949,42486.27747,44060.39796,45231.23597,47641.80271,50674.26563,52748.68479,52619.89197,39688.07752,42020.25297,39798.3796,42017.2457,40950.97273,43264.07022,45037.67469,44382.40484,43559.6168,46976.86714,46767.10658,45283.20631,46062.80824,45427.69194,47147.96432,46739.74163,47085.12786,48387.51731,51561.41847,54979.30526,47597.47666,46443.04428,46595.49283,47075.78558,45777.63709,47940.36686,47280.54695,47844.08504,49415.67425,48964.13521,49671.38446,47890.65952,49392.00545,52013.94878,50286.59017,48619.68567,52263.22012,50722.01242,52214.97048,52976.10744
2,2,23111.7619,21099.29913,0,4748.868646,12886.09825,10141.08303,12175.67422,26915.52392,28429.77321,22456.32413,13190.81203,22909.48331,20542.98968,23555.35786,28311.15127,27982.83583,37146.69271,41147.80151,44530.46538,47482.98931,7667.774951,8642.042314,7899.209064,11318.03353,12092.7501,14407.99583,13515.16007,14441.17496,15778.11943,17345.36556,18260.28384,19977.97454,21852.1636,22501.07527,24423.50843,25401.40559,28462.13615,29332.73184,29766.74097,40129.93526,12992.54553,12281.09305,13205.36782,15212.25744,15817.57253,16978.61961,19132.13408,21198.04558,21401.75819,23008.70088,23997.9738,25126.51484,26220.65538,26463.3172,27754.51381,28979.34384,32024.54461,35972.92239,37974.67276,38657.48243,19228.68132,20928.13015,19114.78626,21224.47339,20468.36989,22593.29578,24459.21804,24200.2083,23878.02692,27014.22031,26850.86584,25948.83459,26648.78246,26507.22018,27880.65498,27994.42759,29036.35443,31402.28744,34790.029,39428.09219,28723.98166,26984.83594,26788.15738,26389.03055,24690.65394,26846.64068,26217.45046,26856.10135,28694.81462,28719.67486,29416.71643,28100.83546,29440.70102,31791.45102,30530.709,29170.26731,32562.77682,31603.22379,33216.65266,34232.13026
3,3,22047.58078,20103.78901,4748.868646,0,8626.664897,5526.104178,7429.609983,22962.95959,24524.84751,18251.35183,8925.753482,18236.69051,15955.94902,19269.44161,23797.77384,23897.68879,32759.5153,36658.47499,40135.36323,42906.63132,11068.05577,11298.15145,8817.358483,10935.36985,10991.78952,13469.50141,10805.17714,11152.81787,12444.40181,14451.9877,15220.1622,17475.98299,18241.93569,19378.20547,21652.88655,22441.00705,25524.36234,25992.46717,26474.21027,36824.15771,17532.85062,14546.66208,14932.92078,16651.78745,16153.93966,16136.66369,18388.74212,19916.94623,19581.06516,21146.14438,22453.1294,23155.05664,24290.12926,24033.61216,25465.47528,26689.6234,29538.67961,33230.80457,35282.27493,35725.5209,22519.37108,23032.9128,19854.75452,22125.33739,20909.19538,23282.64725,25005.55566,24280.40553,23489.07873,26880.80647,26674.92347,25293.5421,26057.39079,25563.72582,27187.31431,26949.45316,27592.91275,29462.51254,32797.84829,37014.64143,32655.04021,30715.3526,30351.50878,29291.93931,26773.76188,28836.91944,27750.42311,28122.03026,29425.43464,28861.76768,29569.06533,27816.79583,29300.50199,31910.20374,30224.49316,28617.75205,32216.91734,30827.22774,32369.88249,33231.74143
4,4,17844.56766,16268.42534,12886.09825,8626.664897,0,6714.656344,4967.753129,14374.94329,15952.83557,9630.682015,9392.441396,10642.38211,12271.0254,16857.65033,19746.94978,21855.17752,28918.15825,32175.84119,36033.13609,37791.74986,19690.71088,19803.93552,16827.3145,17776.97275,17111.11563,19370.81493,14684.2197,13733.51947,14547.39379,17104.33451,17401.8328,20428.44804,18439.26072,20726.20849,23557.30455,23839.13625,26712.09111,26139.53823,26712.50212,36484.76941,25877.19028,22831.98579,22939.95487,24408.50858,23079.72008,21823.47674,23977.18266,24645.32099,23505.14368,24849.0741,26568.42483,26497.09091,27617.79155,26439.10116,28041.10894,29180.06905,31459.47024,34410.40926,36483.51038,36360.98627,31067.85513,31030.95736,26917.7631,29232.68919,27639.4242,30147.92762,31662.34967,30466.81215,29160.93237,32702.55861,32453.49079,30523.84651,31333.78453,30380.23468,32270.69287,31543.41974,31535.86257,32451.40331,35529.26501,38746.30414,41281.017,39333.57749,38943.85019,37659.08791,34693.08055,36659.70221,35238.85169,35373.51399,36129.70578,34936.61574,35632.03836,33412.47508,35019.11933,37860.08389,35698.23839,33828.59978,37569.45904,35636.42226,37017.35469,37617.87414
5,5,23780.9643,22017.47994,10141.08303,5526.104178,6714.656344,0,2612.431378,20339.30247,21945.7176,15257.06736,3783.315051,13737.99994,10432.75782,13856.5272,18273.37501,18610.86584,27263.70293,31135.01188,34632.98774,37385.4463,15030.6149,14602.29109,11063.94976,11289.85188,10465.1496,12672.20463,8061.606879,7417.970386,8462.934815,10904.49547,11400.81348,14208.32684,13527.41937,15214.85139,17830.53335,18364.75923,21391.40221,21405.89169,21930.74376,32152.19638,22363.74266,17123.62907,16927.91635,18178.10223,16514.1187,15108.92822,17265.26564,18021.63566,17039.67503,18460.22692,20087.15005,20239.5036,21377.41969,20534.42013,22085.74428,23272.66179,25827.98851,29174.70298,31252.13733,31438.52966,25718.44364,24880.46417,20351.52551,22661.78659,20992.6705,23514.17289,24988.28722,23755.65118,22453.39762,25992.38803,25744.9212,23857.73846,24664.66848,23775.52863,25630.39409,24987.39005,25139.46698,26376.77898,29578.13232,33261.67174,36434.69574,34258.60361,33689.30028,31850.38129,28450.77127,30340.83963,28761.10634,28811.7235,29451.09625,28221.98291,28917.53294,26716.60709,28316.78383,31148.72589,29017.65392,27175.1397,30906.60072,29055.09392,30474.08771,31137.18261
6,6,22709.74874,21061.27408,12175.67422,7429.609983,4967.753129,2612.431378,0,17849.35538,19455.68211,12734.01948,4424.68852,11175.58464,8961.018513,12995.86056,16849.7064,17935.4134,25991.42722,29665.93229,33304.96925,35735.27365,17560.96911,17193.89109,13676.36823,13770.90688,12820.3512,14905.77487,9888.63013,8795.363399,9580.206706,12139.27377,12437.51829,15461.91783,13730.34587,15852.59474,18644.0045,18987.13148,21914.42864,21550.17032,22106.72357,32106.57201,24730.16886,19734.92849,19518.55215,20727.02788,18918.21777,17225.55652,19312.78368,19797.82407,18572.9124,19896.44005,21636.80044,21530.10984,22650.21296,21498.336,23094.42723,24241.99916,26583.70147,29659.9467,31738.4283,31730.23435,28328.76967,27436.83348,22742.97593,25043.76066,23297.55144,25830.28719,27239.31043,25890.09268,24454.82492,28004.44201,27746.49151,25714.05474,26527.25858,25505.98971,27425.96786,26637.025,26579.81968,27492.79537,30589.10227,33921.97842,39021.8297,36860.36669,36298.7312,34449.27173,30980.52749,32844.66787,31196.36222,31190.14079,31685.46437,30290.12387,30977.70244,28656.95554,30281.49457,33162.90475,30905.2722,28996.98154,32746.01367,30740.4452,32100.12654,32677.36728
7,7,17674.36218,17586.15314,26915.52392,22962.95959,14374.94329,20339.30247,17849.35538,0,1606.691177,5152.735715,21443.70573,10130.84858,18708.04051,22970.36697,22194.50547,26977.32951,29461.1828,30899.37442,35007.81553,34439.29287,34026.65067,34178.70667,31115.15417,31613.55287,30650.20918,32639.03737,27308.54797,25746.37038,26036.42051,28467.41923,28330.23676,31492.67765,27257.18919,30252.45384,33188.64844,32896.35172,35122.30694,33376.71063,33976.24335,41769.21186,39750.70977,37159.30396,37165.39698,38504.83198,36758.16037,34798.0288,36750.88377,36722.56093,35021.8652,36042.86968,37976.77492,37199.51995,38201.76294,36216.96997,37823.49314,38758.15866,40179.57931,41952.09331,43870.20292,43014.48614,45442.66678,45192.92587,40573.32706,42865.82115,41055.95171,43593.05221,44916.90395,43393.82404,41729.75132,45252.77653,44976.14058,42658.77841,43470.00676,42157.56673,44190.78722,43051.20679,42418.57062,42282.14766,44847.15775,46633.86149,55564.53758,53674.27279,53309.96464,51985.59497,48786.68823,50678.94266,49041.85372,49003.2013,49319.96477,47629.78073,48294.56501,45740.77211,47398.07301,50358.98253,47831.57561,45794.37601,49522.43827,47143.21982,48302.8428,48610.46177
8,8,18071.4608,18156.00368,28429.77321,24524.84751,15952.83557,21945.7176,19455.68211,1606.691177,0,6750.020382,23032.64857,11465.98157,20121.64844,24295.05161,23268.96953,28183.41632,30243.82917,31475.13476,35565.75996,34737.80597,35583.34582,35755.95766,32711.03739,33220.23092,32254.80033,34238.20212,28897.53338,27321.95255,27594.69079,30013.12578,29859.09515,33016.62539,28692.18295,31706.66137,34634.88149,34311.44529,36487.27504,34674.56902,35272.15266,42871.96854,41227.75671,38751.75144,38766.30329,40110.07008,38363.25595,36388.43444,38333.4688,38278.9238,36557.04462,37560.83291,39501.01124,38689.99109,39683.37624,37659.78618,39261.18111,40180.72704,41543.32846,43227.89595,45127.24806,44219.81552,47017.35075,46797.0647,42177.52745,44469.29196,42655.18871,45192.30551,46510.47315,44977.14673,43300.60593,46820.12151,46542.52236,44210.22131,45020.6477,43692.87732,45730.46804,44571.88545,43907.14387,43709.81952,46235.67676,47918.18741,57102.78675,55228.92082,54875.62661,53579.12964,50392.52281,52285.54213,50647.37203,50605.73705,50909.99208,49201.56535,49864.66331,47298.01929,48956.28532,51920.60253,49377.89835,47334.51789,51058.28837,48658.32909,49804.40526,50094.97878
